StateAb,GroupAb,GroupNm,OrdinaryVotes,OrdinaryPercentage,AbsentVotes,AbsentPercentage,ProvisionalVotes,ProvisionalPercentage,DeclarationPrePollVotes,DeclarationPrePollPercentage,PostalVotes,PostalPercentage,TotalVotes,TotalPercentage
NSW,ALP,Labor,1571768,37.78,51543,35.27,2319,37.22,54355,37.1,189537,37.39,1869522,37.64
NSW,LPNP,Liberal & Nationals,1214340,29.19,32358,22.14,1388,22.28,39112,26.69,175419,34.61,1462617,29.45
NSW,GRN,The Greens,469331,11.28,22196,15.19,967,15.52,20270,13.83,43425,8.57,556189,11.2
NSW,HMP,Legalise Cannabis Party,147634,3.55,9158,6.27,294,4.72,5305,3.62,10580,2.09,172971,3.48
NSW,CYA,Trumpet of Patriots,100825,2.42,4431,3.03,159,2.55,3578,2.44,9954,1.96,118947,2.4
NSW,AJP,Animal Justice Party,48304,1.16,2211,1.51,104,1.67,1807,1.23,7299,1.44,59725,1.2
NSW,AV,Australia's Voice,30637,0.74,1611,1.1,65,1.04,1207,0.82,2860,0.56,36380,0.73
NSW,AUC,Australian Christians,48740,1.17,2351,1.61,102,1.64,1750,1.19,5741,1.13,58684,1.18
NSW,CEC,Citizens Party,8928,0.21,352,0.24,12,0.19,321,0.22,974,0.19,10587,0.21
NSW,SOPA,FUSION | Planet Rescue | Whistleblower Protection | Innovation,13497,0.32,640,0.44,30,0.48,579,0.4,1717,0.34,16463,0.33
NSW,FFPA,Family First,68621,1.65,3038,2.08,123,1.97,2261,1.54,5762,1.14,79805,1.61
NSW,IAP,Indigenous - Aboriginal Party of Australia,27029,0.65,1671,1.14,65,1.04,1182,0.81,2109,0.42,32056,0.65
NSW,JLN,Jacqui Lambie Network,41665,1,900,0.62,60,0.96,1518,1.04,8390,1.66,52533,1.06
NSW,PFHL,Libertarian / HEART / Gerard Rennick People First,78518,1.89,2992,2.05,133,2.13,2745,1.87,8028,1.58,92416,1.86
NSW,ON,Pauline Hanson's One Nation,253160,6.08,8964,6.13,334,5.36,8913,6.08,30111,5.94,301482,6.07
NSW,SAL,Socialist Alliance,10421,0.25,487,0.33,19,0.3,503,0.34,1134,0.22,12564,0.25
NSW,SPP,Sustainable Australia Party - Universal Basic Income,13243,0.32,609,0.42,21,0.34,557,0.38,1767,0.35,16197,0.33
NSW,UNAM,Unendorsed/Ungrouped Amalgamated,13935,0.33,607,0.42,35,0.56,563,0.38,2068,0.41,17208,0.35
VIC,ALP,Australian Labor Party,1080784,34.84,45860,31.6,1827,35.32,47232,32.45,242758,35.04,1418461,34.67
VIC,LPNP,Liberal/The Nationals,960130,30.95,35530,24.48,1247,24.11,43087,29.6,246053,35.51,1286047,31.44
VIC,GRN,The Greens,396155,12.77,25503,17.57,806,15.58,22354,15.36,64517,9.31,509335,12.45
VIC,AV,Australia's Voice,31328,1.01,1838,1.27,79,1.53,1122,0.77,5273,0.76,39640,0.97
VIC,HMP,Legalise Cannabis Party,114352,3.69,8642,5.96,246,4.76,5639,3.87,19253,2.78,148132,3.62
VIC,LTP,Libertarian,18746,0.6,977,0.67,47,0.91,959,0.66,2826,0.41,23555,0.58
VIC,CYA,Trumpet of Patriots,76787,2.48,4404,3.03,121,2.34,3916,2.69,18019,2.6,103247,2.52
VIC,AJP,Animal Justice Party,45840,1.48,2721,1.88,93,1.8,2235,1.54,13484,1.95,64373,1.57
VIC,AUD,Australian Democrats,13150,0.42,520,0.36,23,0.44,586,0.4,3011,0.43,17290,0.42
VIC,CEC,Citizens Party,7734,0.25,302,0.21,21,0.41,319,0.22,1389,0.2,9765,0.24
VIC,SOPA,FUSION | Planet Rescue | Whistleblower Protection | Innovation,7637,0.25,541,0.37,19,0.37,424,0.29,1959,0.28,10580,0.26
VIC,FFPA,Family First,57461,1.85,2813,1.94,121,2.34,2359,1.62,11689,1.69,74443,1.82
VIC,GRHE,Gerard Rennick People First - Heart,33182,1.07,1716,1.18,58,1.12,1768,1.21,7112,1.03,43836,1.07
VIC,IAP,Indigenous - Aboriginal Party of Australia,20318,0.65,1365,0.94,47,0.91,1171,0.8,3528,0.51,26429,0.65
VIC,ON,Pauline Hanson's One Nation,135563,4.37,6146,4.24,202,3.91,6900,4.74,32874,4.74,181685,4.44
VIC,ASP,"Shooters, Fishers and Farmers Party",37428,1.21,2199,1.52,62,1.2,2431,1.67,8600,1.24,50720,1.24
VIC,SPP,Sustainable Australia Party - Universal Basic Income,7730,0.25,460,0.32,12,0.23,421,0.29,2096,0.3,10719,0.26
VIC,VNS,Victorian Socialists,50644,1.63,3185,2.19,127,2.46,2274,1.56,6388,0.92,62618,1.53
VIC,UNAM,Unendorsed/Ungrouped Amalgamated,7158,0.23,388,0.27,14,0.27,370,0.25,2034,0.29,9964,0.24
QLD,ALP,Australian Labor Party,757393,30.76,28362,28.07,4232,28.03,34246,28.35,154077,30.48,978310,30.53
QLD,LNP,LNP,746285,30.31,22828,22.59,2858,18.93,34567,28.61,187945,37.17,994483,31.03
QLD,ON,Pauline Hanson's One Nation,172946,7.02,7235,7.16,1177,7.79,9972,8.25,36657,7.25,227987,7.11
QLD,GRN,The Greens,260511,10.58,14975,14.82,2064,13.67,15165,12.55,41648,8.24,334363,10.43
QLD,AV,Australia's Voice,18925,0.77,1133,1.12,221,1.46,1052,0.87,2349,0.46,23680,0.74
QLD,CYA,Trumpet of Patriots,91561,3.72,4917,4.87,835,5.53,5009,4.15,14462,2.86,116784,3.64
QLD,AJP,Animal Justice Party,22811,0.93,1378,1.36,208,1.38,1238,1.02,6076,1.2,31711,0.99
QLD,AUD,Australian Democrats,10929,0.44,430,0.43,60,0.4,531,0.44,2124,0.42,14074,0.44
QLD,CEC,Citizens Party,4931,0.2,242,0.24,35,0.23,259,0.21,717,0.14,6184,0.19
QLD,SOPA,FUSION | Planet Rescue | Whistleblower Protection | Innovation,7176,0.29,424,0.42,80,0.53,463,0.38,1434,0.28,9577,0.3
QLD,FFPA,Family First,45462,1.85,2359,2.33,406,2.69,2112,1.75,7244,1.43,57583,1.8
QLD,GRKA,Gerard Rennick People First|Katter's Australian Party,122462,4.97,4501,4.45,649,4.3,5072,4.2,16977,3.36,149661,4.67
QLD,GAHE,Great Australian Party & HEART Party,4636,0.19,318,0.31,46,0.3,238,0.2,779,0.15,6017,0.19
QLD,IAP,Indigenous - Aboriginal Party of Australia,33978,1.38,2256,2.23,470,3.11,1850,1.53,3256,0.64,41810,1.3
QLD,JLN,Jacqui Lambie Network,38437,1.56,1245,1.23,168,1.11,2400,1.99,12055,2.38,54305,1.69
QLD,HMP,Legalise Cannabis Party,87633,3.56,6431,6.36,1200,7.95,4517,3.74,12293,2.43,112074,3.5
QLD,LTP,Libertarian,11279,0.46,677,0.67,111,0.74,878,0.73,1581,0.31,14526,0.45
QLD,SAL,Socialist Alliance,16918,0.69,990,0.98,224,1.48,867,0.72,1894,0.37,20893,0.65
QLD,SPP,Sustainable Australia Party - Universal Basic Income,5772,0.23,300,0.3,55,0.36,320,0.26,1380,0.27,7827,0.24
QLD,UNAM,Unendorsed/Ungrouped Amalgamated,2341,0.1,42,0.04,1,0.01,46,0.04,623,0.12,3053,0.1
WA,ALP,Australian Labor Party,471756,36.57,21559,29.99,724,32.72,21016,33.23,69949,37.2,585004,36.21
WA,LP,Liberal,341481,26.47,14921,20.76,465,21.01,16686,26.38,56580,30.09,430133,26.63
WA,NP,The Nationals,44783,3.47,2249,3.13,45,2.03,2429,3.84,8299,4.41,57805,3.58
WA,GRN,The Greens (WA),165829,12.85,13241,18.42,370,16.72,9323,14.74,18527,9.85,207290,12.83
WA,CYA,Trumpet of Patriots,21589,1.67,1571,2.19,43,1.94,1192,1.88,2580,1.37,26975,1.67
WA,AJP,Animal Justice Party,13375,1.04,1049,1.46,36,1.63,675,1.07,2750,1.46,17885,1.11
WA,AV,Australia's Voice,9105,0.71,711,0.99,32,1.45,344,0.54,890,0.47,11082,0.69
WA,AUC,Australian Christians,35304,2.74,2161,3.01,79,3.57,1513,2.39,4039,2.15,43096,2.67
WA,AUD,Australian Democrats,5170,0.4,258,0.36,11,0.5,250,0.4,759,0.4,6448,0.4
WA,CEC,Citizens Party,3814,0.3,279,0.39,6,0.27,175,0.28,454,0.24,4728,0.29
WA,SOPA,FUSION,2715,0.21,203,0.28,6,0.27,159,0.25,498,0.26,3581,0.22
WA,GRPF,Gerard Rennick People First,19081,1.48,1225,1.7,50,2.26,996,1.57,2509,1.33,23861,1.48
WA,HMP,Legalise Cannabis Party,51677,4.01,5210,7.25,127,5.74,2632,4.16,5403,2.87,65049,4.03
WA,LTP,Libertarian,8301,0.64,599,0.83,15,0.68,424,0.67,857,0.46,10196,0.63
WA,ON,One Nation,74243,5.75,4902,6.82,132,5.96,4287,6.78,11299,6.01,94863,5.87
WA,SAL,Socialist Alliance,3170,0.25,212,0.29,15,0.68,166,0.26,380,0.2,3943,0.24
WA,SPP,Sustainable Australia Party,5437,0.42,423,0.59,16,0.72,280,0.44,929,0.49,7085,0.44
WA,GAP,GAP,12152,0.94,1054,1.47,37,1.67,663,1.05,1149,0.61,15055,0.93
WA,UNAM,Unendorsed/Ungrouped Amalgamated,1130,0.09,58,0.08,4,0.18,40,0.06,178,0.09,1410,0.09
SA,ALP,Australian Labor Party,353154,38.24,15284,34.47,3174,35.52,12043,34.68,59340,38.88,442995,38.06
SA,LP,Liberal,251895,27.28,9730,21.94,1724,19.29,9461,27.24,48122,31.53,320932,27.57
SA,NP,National Party,4512,0.49,183,0.41,46,0.51,237,0.68,717,0.47,5695,0.49
SA,GRN,The Greens,120952,13.1,8084,18.23,1533,17.15,5172,14.89,14407,9.44,150148,12.9
SA,CYA,Trumpet of Patriots,26092,2.83,1671,3.77,327,3.66,1089,3.14,3915,2.56,33094,2.84
SA,AJP,Animal Justice Party,11939,1.29,818,1.84,167,1.87,468,1.35,2426,1.59,15818,1.36
SA,AV,Australia's Voice,6735,0.73,397,0.9,116,1.3,255,0.73,538,0.35,8041,0.69
SA,CEC,Citizens Party,1259,0.14,77,0.17,20,0.22,44,0.13,170,0.11,1570,0.13
SA,SOPA,FUSION | Planet Rescue | Whistleblower Protection | Innovation,4372,0.47,252,0.57,66,0.74,185,0.53,567,0.37,5442,0.47
SA,FFPA,Family First,18992,2.06,1079,2.43,223,2.5,711,2.05,2549,1.67,23554,2.02
SA,GRPF,Gerard Rennick People First,10673,1.16,627,1.41,130,1.45,506,1.46,1526,1,13462,1.16
SA,JLN,Jacqui Lambie Network,24478,2.65,707,1.59,141,1.58,788,2.27,5402,3.54,31516,2.71
SA,HMP,Legalise Cannabis Party,26586,2.88,2073,4.67,511,5.72,1138,3.28,2984,1.95,33292,2.86
SA,LTP,Libertarian,9891,1.07,614,1.38,175,1.96,360,1.04,777,0.51,11817,1.02
SA,ON,Pauline Hanson's One Nation,48439,5.25,2518,5.68,546,6.11,2101,6.05,8527,5.59,62131,5.34
SA,SPP,Sustainable Australia Party - Universal Basic Income,2457,0.27,174,0.39,30,0.34,119,0.34,496,0.32,3276,0.28
SA,UNAM,Unendorsed/Ungrouped Amalgamated,993,0.11,56,0.13,8,0.09,54,0.16,178,0.12,1289,0.11
TAS,ALP,Australian Labor Party,107728,35.44,3428,31.21,451,32.99,2919,31.79,15703,36.39,130229,35.33
TAS,LP,Liberal,70610,23.23,2165,19.71,259,18.95,2171,23.64,11629,26.95,86834,23.56
TAS,JLN,Jacqui Lambie Network,21606,7.11,660,6.01,86,6.29,633,6.89,3740,8.67,26725,7.25
TAS,GRN,The Greens,50504,16.62,2218,20.19,206,15.07,1920,20.91,5093,11.8,59941,16.26
TAS,CYA,Trumpet of Patriots,9929,3.27,424,3.86,61,4.46,272,2.96,1262,2.92,11948,3.24
TAS,AJP,Animal Justice Party,3796,1.25,193,1.76,30,2.19,126,1.37,663,1.54,4808,1.3
TAS,CEC,Citizens Party,966,0.32,34,0.31,4,0.29,33,0.36,157,0.36,1194,0.32
TAS,HMP,Legalise Cannabis Party,10549,3.47,641,5.84,106,7.75,296,3.22,948,2.2,12540,3.4
TAS,LTP,Libertarian,1340,0.44,40,0.36,12,0.88,42,0.46,188,0.44,1622,0.44
TAS,ON,Pauline Hanson's One Nation,15812,5.2,542,4.93,74,5.41,433,4.72,2134,4.94,18995,5.15
TAS,ASP,"Shooters, Fishers and Farmers Party",6707,2.21,393,3.58,46,3.37,196,2.13,1002,2.32,8344,2.26
TAS,SPP,Sustainable Australia Party - Universal Basic Income,3559,1.17,220,2,32,2.34,130,1.42,475,1.1,4416,1.2
TAS,UNAM,Unendorsed/Ungrouped Amalgamated,829,0.27,25,0.23,0,0,11,0.12,161,0.37,1026,0.28
ACT,ALP,Australian Labor Party,80160,31.8,1554,29.18,475,30.66,4054,32.41,6741,31.23,92984,31.73
ACT,LP,Liberal,43727,17.35,859,16.13,236,15.24,2318,18.53,4861,22.52,52001,17.75
ACT,DAVI,David Pocock,100202,39.75,2023,37.98,583,37.64,4384,35.05,7577,35.1,114769,39.17
ACT,AJP,Animal Justice Party,2756,1.09,87,1.63,22,1.42,131,1.05,365,1.69,3361,1.15
ACT,HETP,HEART/LIBERTARIAN,2897,1.15,83,1.56,19,1.23,163,1.3,277,1.28,3439,1.17
ACT,SPP,Sustainable Australia Party - Universal Basic Income,2985,1.18,100,1.88,35,2.26,193,1.54,324,1.5,3637,1.24
ACT,GRN,Australian Greens,19331,7.67,620,11.64,179,11.56,1265,10.11,1441,6.68,22836,7.79
ACT,UNAM,Unendorsed/Ungrouped Amalgamated,0,0,0,0,0,0,0,0,0,0,0,0
NT,ALP,Australian Labor Party (Northern Territory) Branch,33024,35.54,635,33.58,129,31.08,2127,32.33,1436,28.73,37351,34.97
NT,CLP,NT CLP,30359,32.67,469,24.8,117,28.19,1929,29.32,2080,41.62,34954,32.73
NT,CEC,Citizens Party,949,1.02,33,1.75,5,1.2,89,1.35,57,1.14,1133,1.06
NT,HMP,Legalise Cannabis Party,4980,5.36,170,8.99,36,8.67,328,4.99,187,3.74,5701,5.34
NT,LTP,Libertarian,1244,1.34,35,1.85,5,1.2,139,2.11,70,1.4,1493,1.4
NT,ON,Pauline Hanson's One Nation,6969,7.5,200,10.58,42,10.12,646,9.82,448,8.96,8305,7.78
NT,SPP,Sustainable Australia Party - Universal Basic Income,4395,4.73,140,7.4,30,7.23,245,3.72,100,2,4910,4.6
NT,GRN,Australian Greens,9986,10.75,199,10.52,49,11.81,1006,15.29,580,11.6,11820,11.07
NT,UNAM,Unendorsed/Ungrouped Amalgamated,1018,1.1,10,0.53,2,0.48,70,1.06,40,0.8,1140,1.07
